Keyword,Volume (est. band),Difficulty (1-5),Intent,SERP features,Cluster,Cluster role,Opportunity (1-5),Strategic fit (1-5),Priority (O+F-D),Target URL,Notes
homeschool robotics team fort wayne,Very low,2,I/T,"PAA, FIRST team map",Find a team for my student,long-tail,4,5,7,/get-involved/ (Find a Team) -> dedicated /find-a-team/,Check which teams accept homeschoolers
middle school robotics fort wayne,Very low,2,I/T,"PAA, FIRST team map",Find a team for my student,long-tail,4,5,7,/get-involved/ (Find a Team) -> dedicated /find-a-team/,FTC is 7-12
robotics team for my kid,Very low,2,I/T,"PAA, FIRST team map",Find a team for my student,long-tail,4,5,7,/get-involved/ (Find a Team) -> dedicated /find-a-team/,
robotics fort wayne,Med,2,I/N,"Jobs boards, integrators, local news; no youth hub",Generic youth robotics (local),primary,4,5,7,/ (home copy) + Google Business Profile,Google reads as jobs/industrial; map pack + home copy is the path
youth robotics fort wayne,Low,2,I/N,"Jobs boards, integrators, local news; no youth hub",Generic youth robotics (local),secondary,4,5,7,/ (home copy) + Google Business Profile,"Weak SERP (WANE, BGC, Science Central) - #1 achievable"
youth robotics northeast indiana,Very low,2,I/N,"Jobs boards, integrators, local news; no youth hub",Generic youth robotics (local),secondary,4,5,7,/ (home copy) + Google Business Profile,Unowned; put in home title/intro
robotics near me,Med,2,I/N,"Jobs boards, integrators, local news; no youth hub",Generic youth robotics (local),secondary,4,5,7,/ (home copy) + Google Business Profile,Map pack - needs Google Business Profile
student robotics fort wayne,Very low,2,I/N,"Jobs boards, integrators, local news; no youth hub",Generic youth robotics (local),secondary,4,5,7,/ (home copy) + Google Business Profile,
robotics program fort wayne,Low,2,I/N,"Jobs boards, integrators, local news; no youth hub",Generic youth robotics (local),secondary,4,5,7,/ (home copy) + Google Business Profile,
robotics for teens fort wayne,Very low,2,I/N,"Jobs boards, integrators, local news; no youth hub",Generic youth robotics (local),long-tail,4,5,7,/ (home copy) + Google Business Profile,
first robotics fort wayne,Med,2,N/I,"Local pack, TBA team pages, news",Local FIRST robotics hub,primary,4,5,7,/ (home) + /about/teams/,SERP today: TBA team pages + news; no hub page owns it
robotics teams northeast indiana,Low,2,N/I,"Local pack, TBA team pages, news",Local FIRST robotics hub,secondary,4,5,7,/ (home) + /about/teams/,
frc teams fort wayne,Low,2,N/I,"Local pack, TBA team pages, news",Local FIRST robotics hub,secondary,4,5,7,/ (home) + /about/teams/,
ftc teams fort wayne,Low,2,N/I,"Local pack, TBA team pages, news",Local FIRST robotics hub,secondary,4,5,7,/ (home) + /about/teams/,
high school robotics fort wayne,Low,2,N/I,"Local pack, TBA team pages, news",Local FIRST robotics hub,secondary,4,5,7,/ (home) + /about/teams/,
robotics club fort wayne,Low,2,N/I,"Local pack, TBA team pages, news",Local FIRST robotics hub,secondary,4,5,7,/ (home) + /about/teams/,
first robotics northeast indiana,Very low,2,N/I,"Local pack, TBA team pages, news",Local FIRST robotics hub,secondary,4,5,7,/ (home) + /about/teams/,Already in home title
student robotics fort wayne indiana,Very low,2,N/I,"Local pack, TBA team pages, news",Local FIRST robotics hub,long-tail,4,5,7,/ (home) + /about/teams/,
fort wayne robotics nonprofit,Very low,2,N/I,"Local pack, TBA team pages, news",Local FIRST robotics hub,long-tail,4,5,7,/ (home) + /about/teams/,
robotics mentor fort wayne,Low,2,T,"PAA, FIRST volunteer pages",Mentoring locally,primary,4,5,7,/get-involved/#volunteer (covered),Journal Gazette ran 'teams seek mentors' - proven local need
volunteer robotics fort wayne,Low,2,T,"PAA, FIRST volunteer pages",Mentoring locally,secondary,4,5,7,/get-involved/#volunteer (covered),
become a first robotics mentor,Low,2,T,"PAA, FIRST volunteer pages",Mentoring locally,secondary,4,5,7,/get-involved/#volunteer (covered),firstinspires.org ranks; localize
stem volunteer opportunities fort wayne,Low,2,T,"PAA, FIRST volunteer pages",Mentoring locally,secondary,4,5,7,/get-involved/#volunteer (covered),
engineering volunteer opportunities indiana,Very low,2,T,"PAA, FIRST volunteer pages",Mentoring locally,secondary,4,5,7,/get-involved/#volunteer (covered),
first robotics volunteer indiana,Low,2,T,"PAA, FIRST volunteer pages",Mentoring locally,secondary,4,5,7,/get-involved/#volunteer (covered),FIRST Indiana ranks for events; we own team mentoring
volunteer opportunities for engineers fort wayne,Very low,2,T,"PAA, FIRST volunteer pages",Mentoring locally,long-tail,4,5,7,/get-involved/#volunteer (covered),
mentor high school students fort wayne,Very low,2,T,"PAA, FIRST volunteer pages",Mentoring locally,long-tail,4,5,7,/get-involved/#volunteer (covered),
sponsor a robotics team,Low,2,C/T,Team sponsor pages,Corporate sponsorship,primary,3,5,6,/get-involved/ partner section -> /sponsor/,
robotics team sponsorship fort wayne,Very low,2,C/T,Team sponsor pages,Corporate sponsorship,secondary,3,5,6,/get-involved/ partner section -> /sponsor/,
corporate stem sponsorship indiana,Very low,2,C/T,Team sponsor pages,Corporate sponsorship,secondary,3,5,6,/get-involved/ partner section -> /sponsor/,
stem workforce development northeast indiana,Very low,2,C/T,Team sponsor pages,Corporate sponsorship,secondary,3,5,6,/get-involved/ partner section -> /sponsor/,Employer angle - manufacturing region
robotics sponsorship benefits for companies,Very low,2,C/T,Team sponsor pages,Corporate sponsorship,long-tail,3,5,6,/get-involved/ partner section -> /sponsor/,
is sponsoring a robotics team tax deductible,Very low,2,C/T,Team sponsor pages,Corporate sponsorship,long-tail,3,5,6,/get-involved/ partner section -> /sponsor/,Business expense vs gift - PAA
donate to robotics team,Low,2,T,"Charity navigator, team donate pages",Donate to STEM / robotics,primary,3,5,6,/donate/,
stem nonprofit fort wayne,Low,2,T,"Charity navigator, team donate pages",Donate to STEM / robotics,secondary,3,5,6,/donate/,
support stem education northeast indiana,Very low,2,T,"Charity navigator, team donate pages",Donate to STEM / robotics,secondary,3,5,6,/donate/,
tax deductible robotics donation,Very low,2,T,"Charity navigator, team donate pages",Donate to STEM / robotics,secondary,3,5,6,/donate/,Clarify 501(c)(3) status on page
fort wayne nonprofits youth stem,Very low,2,T,"Charity navigator, team donate pages",Donate to STEM / robotics,long-tail,3,5,6,/donate/,
donate robotics equipment,Very low,2,T,"Charity navigator, team donate pages",Donate to STEM / robotics,long-tail,3,5,6,/donate/,In-kind tools/parts
robotics competition fort wayne,Low,1,I/T,"Event list, TBA, FRC Events",Local robotics events,primary,3,4,6,/programs-events/ + /programs-events/[id]/,"SERP: Monster Match, VEX leagues"
monster match robotics,Low,1,I/T,"Event list, TBA, FRC Events",Local robotics events,secondary,3,4,6,/programs-events/ + /programs-events/[id]/,Oct 31 2026 at Wayne HS - update now
frc offseason event indiana,Very low,1,I/T,"Event list, TBA, FRC Events",Local robotics events,secondary,3,4,6,/programs-events/ + /programs-events/[id]/,
robotics events near me,Med,1,I/T,"Event list, TBA, FRC Events",Local robotics events,secondary,3,4,6,/programs-events/ + /programs-events/[id]/,
first robotics events indiana 2026,Low,1,I/T,"Event list, TBA, FRC Events",Local robotics events,secondary,3,4,6,/programs-events/ + /programs-events/[id]/,FIRST Indiana/TBA dominate
battle of the robots fort wayne,Very low,1,I/T,"Event list, TBA, FRC Events",Local robotics events,long-tail,3,4,6,/programs-events/ + /programs-events/[id]/,Existing news story
robotics team grants,Med,3,I/C,"PAA, NASA/FIRST grant pages",Robotics team grants & funding,primary,4,5,6,/resources/robotics-team-grants/ (annual roundup),
frc rookie grant,Low,3,I/C,"PAA, NASA/FIRST grant pages",Robotics team grants & funding,secondary,4,5,6,/resources/robotics-team-grants/ (annual roundup),NASA 2026-27 = rookie only; FIRST rookie grant gone 2025
nasa frc grant,Low,3,I/C,"PAA, NASA/FIRST grant pages",Robotics team grants & funding,secondary,4,5,6,/resources/robotics-team-grants/ (annual roundup),Seasonal spike Aug-Oct
first robotics grants indiana,Low,3,I/C,"PAA, NASA/FIRST grant pages",Robotics team grants & funding,secondary,4,5,6,/resources/robotics-team-grants/ (annual roundup),
indiana robotics grant,Low,3,I/C,"PAA, NASA/FIRST grant pages",Robotics team grants & funding,secondary,4,5,6,/resources/robotics-team-grants/ (annual roundup),State robotics grant law (Fire Wires lobbying story)
how to fund a robotics team,Low,3,I/C,"PAA, NASA/FIRST grant pages",Robotics team grants & funding,secondary,4,5,6,/resources/robotics-team-grants/ (annual roundup),
robotics team fundraising ideas,Low,3,I/C,"PAA, NASA/FIRST grant pages",Robotics team grants & funding,secondary,4,5,6,/resources/robotics-team-grants/ (annual roundup),
ftc team grants,Low,3,I/C,"PAA, NASA/FIRST grant pages",Robotics team grants & funding,secondary,4,5,6,/resources/robotics-team-grants/ (annual roundup),
robotics grants for schools,Med,3,I/C,"PAA, NASA/FIRST grant pages",Robotics team grants & funding,secondary,4,5,6,/resources/robotics-team-grants/ (annual roundup),Teachers/admins
how to start a first robotics team,Med,3,I,"PAA, featured snippet, FIRST official",Start a robotics team (Indiana),primary,4,5,6,/resources/start-a-robotics-team/ (new guide),firstinspires + regional FIRST partners rank; localize for NE Indiana
how to start an frc team,Low,3,I,"PAA, featured snippet, FIRST official",Start a robotics team (Indiana),secondary,4,5,6,/resources/start-a-robotics-team/ (new guide),
how to start an ftc team,Low,3,I,"PAA, featured snippet, FIRST official",Start a robotics team (Indiana),secondary,4,5,6,/resources/start-a-robotics-team/ (new guide),
start a robotics team at my school,Low,3,I,"PAA, featured snippet, FIRST official",Start a robotics team (Indiana),secondary,4,5,6,/resources/start-a-robotics-team/ (new guide),
start a robotics team indiana,Very low,3,I,"PAA, featured snippet, FIRST official",Start a robotics team (Indiana),secondary,4,5,6,/resources/start-a-robotics-team/ (new guide),Low competition; FIRST Indiana thin here
robotics team requirements,Low,3,I,"PAA, featured snippet, FIRST official",Start a robotics team (Indiana),secondary,4,5,6,/resources/start-a-robotics-team/ (new guide),"2 coaches, 10-20 students, space, tools"
how to start a robotics club,Med,3,I,"PAA, featured snippet, FIRST official",Start a robotics team (Indiana),secondary,4,5,6,/resources/start-a-robotics-team/ (new guide),Includes VEX intent; answer broadly then point to FIRST
frc rookie team checklist,Low,3,I,"PAA, featured snippet, FIRST official",Start a robotics team (Indiana),long-tail,4,5,6,/resources/start-a-robotics-team/ (new guide),
the refinery robotics,Very low,2,N,"Heavy ambiguity (oil refineries, Refinery29)",Brand / navigational,primary,2,5,5,/ (home),Not indexed yet (site: query empty)
refinery robotics fort wayne,Very low,2,N,"Heavy ambiguity (oil refineries, Refinery29)",Brand / navigational,secondary,2,5,5,/ (home),
refinery fort wayne,Low,2,N,"Heavy ambiguity (oil refineries, Refinery29)",Brand / navigational,secondary,2,5,5,/ (home),Competes with other 'Refinery' businesses
refinery makerspace,Very low,2,N,"Heavy ambiguity (oil refineries, Refinery29)",Brand / navigational,secondary,2,5,5,/ (home),
refineryrobotics.org,Very low,2,N,"Heavy ambiguity (oil refineries, Refinery29)",Brand / navigational,secondary,2,5,5,/ (home),
how much does an frc team cost,Low,2,I,"PAA, Chief Delphi, regional FIRST",Cost of an FRC/FTC team,primary,3,4,5,/resources/robotics-team-cost/,$6k rookie reg + $10-20k season
frc registration fee,Low,2,I,"PAA, Chief Delphi, regional FIRST",Cost of an FRC/FTC team,secondary,3,4,5,/resources/robotics-team-cost/,
ftc team cost,Low,2,I,"PAA, Chief Delphi, regional FIRST",Cost of an FRC/FTC team,secondary,3,4,5,/resources/robotics-team-cost/,
robotics team budget,Low,2,I,"PAA, Chief Delphi, regional FIRST",Cost of an FRC/FTC team,secondary,3,4,5,/resources/robotics-team-cost/,
cost of first robotics,Low,2,I,"PAA, Chief Delphi, regional FIRST",Cost of an FRC/FTC team,secondary,3,4,5,/resources/robotics-team-cost/,
frc team budget spreadsheet,Very low,2,I,"PAA, Chief Delphi, regional FIRST",Cost of an FRC/FTC team,long-tail,3,4,5,/resources/robotics-team-cost/,Downloadable template = link bait
homestead robotics team,Low,2,N,"TBA, school sites",Individual team pages,primary,3,4,5,/teams/[slug]/ (15 pages),4982 Olympus - TBA ranks #1 for 'robotics team fort wayne'
huntington robotics team,Low,2,N,"TBA, school sites",Individual team pages,secondary,3,4,5,/teams/[slug]/ (15 pages),1501 THRUST
north side robotics fort wayne,Very low,2,N,"TBA, school sites",Individual team pages,secondary,3,4,5,/teams/[slug]/ (15 pages),
snider robotics,Very low,2,N,"TBA, school sites",Individual team pages,secondary,3,4,5,/teams/[slug]/ (15 pages),
carroll robotics,Very low,2,N,"TBA, school sites",Individual team pages,secondary,3,4,5,/teams/[slug]/ (15 pages),
canterbury robotics,Very low,2,N,"TBA, school sites",Individual team pages,secondary,3,4,5,/teams/[slug]/ (15 pages),
east noble robotics,Very low,2,N,"TBA, school sites",Individual team pages,secondary,3,4,5,/teams/[slug]/ (15 pages),
frc 1501,Low,2,N,"TBA, school sites",Individual team pages,secondary,3,4,5,/teams/[slug]/ (15 pages),Team-number searches: TBA wins; we win on story/community
frc 4982,Very low,2,N,"TBA, school sites",Individual team pages,secondary,3,4,5,/teams/[slug]/ (15 pages),
robot demonstration for schools,Very low,1,T,"Local pack, field trip lists",Robot demos & facility tours,primary,2,4,5,"/programs-events/robot-demos/, /facility-tours/",
stem field trip fort wayne,Low,1,T,"Local pack, field trip lists",Robot demos & facility tours,secondary,2,4,5,"/programs-events/robot-demos/, /facility-tours/","Science Central, STARBASE rank"
field trip ideas fort wayne,Low,1,T,"Local pack, field trip lists",Robot demos & facility tours,secondary,2,4,5,"/programs-events/robot-demos/, /facility-tours/",Broad; low conversion
robotics demo for events,Very low,1,T,"Local pack, field trip lists",Robot demos & facility tours,secondary,2,4,5,"/programs-events/robot-demos/, /facility-tours/",
tour robotics facility fort wayne,Very low,1,T,"Local pack, field trip lists",Robot demos & facility tours,long-tail,2,4,5,"/programs-events/robot-demos/, /facility-tours/",
robotics makerspace fort wayne,Very low,2,N/C,"Yelp, TekVenture, Build Guild",Robotics makerspace & facility,primary,3,4,5,/about/ facility -> /facility/,'makerspace fort wayne' belongs to TekVenture - use robotics modifier
robotics lab fort wayne,Very low,2,N/C,"Yelp, TekVenture, Build Guild",Robotics makerspace & facility,secondary,3,4,5,/about/ facility -> /facility/,
frc practice field indiana,Very low,2,N/C,"Yelp, TekVenture, Build Guild",Robotics makerspace & facility,secondary,3,4,5,/about/ facility -> /facility/,
shared robotics shop,Very low,2,N/C,"Yelp, TekVenture, Build Guild",Robotics makerspace & facility,long-tail,3,4,5,/about/ facility -> /facility/,
cnc machine access robotics team,Very low,2,N/C,"Yelp, TekVenture, Build Guild",Robotics makerspace & facility,long-tail,3,4,5,/about/ facility -> /facility/,
amp lab fort wayne,Low,2,N,"amplab.fortwayneschools.org, FWCS",Amp Lab / FWCS robotics pathway,primary,2,4,4,/programs-events/amp-lab/,"Navigational to FWCS site; support, don't compete"
fwcs robotics pathway,Very low,2,N,"amplab.fortwayneschools.org, FWCS",Amp Lab / FWCS robotics pathway,secondary,2,4,4,/programs-events/amp-lab/,
robotics entrepreneurship fort wayne,Very low,2,N,"amplab.fortwayneschools.org, FWCS",Amp Lab / FWCS robotics pathway,secondary,2,4,4,/programs-events/amp-lab/,
fwcs robotics,Low,2,N,"amplab.fortwayneschools.org, FWCS",Amp Lab / FWCS robotics pathway,secondary,2,4,4,/programs-events/amp-lab/,
frc mentor guide,Low,3,I,"FIRST PDFs, LearnFRC, Chief Delphi",FRC mentor resources,primary,3,4,4,/resources/ hub (plan.md 'Blog & Resources'),
how to mentor an frc team,Low,3,I,"FIRST PDFs, LearnFRC, Chief Delphi",FRC mentor resources,secondary,3,4,4,/resources/ hub (plan.md 'Blog & Resources'),
new frc mentor tips,Very low,3,I,"FIRST PDFs, LearnFRC, Chief Delphi",FRC mentor resources,secondary,3,4,4,/resources/ hub (plan.md 'Blog & Resources'),
frc mentor training,Low,3,I,"FIRST PDFs, LearnFRC, Chief Delphi",FRC mentor resources,secondary,3,4,4,/resources/ hub (plan.md 'Blog & Resources'),
frc tool list for new teams,Low,3,I,"FIRST PDFs, LearnFRC, Chief Delphi",FRC mentor resources,secondary,3,4,4,/resources/ hub (plan.md 'Blog & Resources'),FIRST tool recommendations exist
frc offseason training plan,Very low,3,I,"FIRST PDFs, LearnFRC, Chief Delphi",FRC mentor resources,long-tail,3,4,4,/resources/ hub (plan.md 'Blog & Resources'),
ftc vs frc,Med,3,I,"Featured snippet, PAA, forums",FTC vs FRC vs FLL,primary,3,4,4,/resources/ftc-vs-frc/,
fll vs ftc,Low,3,I,"Featured snippet, PAA, forums",FTC vs FRC vs FLL,secondary,3,4,4,/resources/ftc-vs-frc/,
frc vs vex,Low,3,I,"Featured snippet, PAA, forums",FTC vs FRC vs FLL,secondary,3,4,4,/resources/ftc-vs-frc/,
first robotics programs by age,Low,3,I,"Featured snippet, PAA, forums",FTC vs FRC vs FLL,secondary,3,4,4,/resources/ftc-vs-frc/,
which robotics program is best for my child,Low,3,I,"Featured snippet, PAA, forums",FTC vs FRC vs FLL,secondary,3,4,4,/resources/ftc-vs-frc/,Parent framing
what is first robotics,Med,3,I,"Featured snippet, PAA, forums",FTC vs FRC vs FLL,secondary,3,4,4,/resources/ftc-vs-frc/,Wikipedia/FIRST dominate
benefits of first robotics,Low,3,I,"PAA, FIRST scholarships DB",Benefits & scholarships,primary,3,3,3,/resources/why-first-robotics/,
first robotics scholarships,Med,3,I,"PAA, FIRST scholarships DB",Benefits & scholarships,secondary,3,3,3,/resources/why-first-robotics/,FIRST scholarship DB dominates
does robotics help college admissions,Low,3,I,"PAA, FIRST scholarships DB",Benefits & scholarships,secondary,3,3,3,/resources/why-first-robotics/,
robotics careers indiana,Low,3,I,"PAA, FIRST scholarships DB",Benefits & scholarships,secondary,3,3,3,/resources/why-first-robotics/,
girls robotics team fort wayne,Very low,2,I/T,Local nonprofits,Girls in robotics / STEM,primary,2,3,3,Deferred,
girls in stem fort wayne,Low,2,I/T,Local nonprofits,Girls in robotics / STEM,secondary,2,3,3,Deferred,
robotics summer camp fort wayne,Low,3,T,"Camp directories, PFW, Indiana Tech",Summer robotics programs,primary,3,3,3,/programs-events/ (if a summer program exists),PFW/Indiana Tech/Science Central rank; they skew young
robotics camp high school indiana,Low,3,T,"Camp directories, PFW, Indiana Tech",Summer robotics programs,secondary,3,3,3,/programs-events/ (if a summer program exists),Gap: few HS-level camps locally
summer robotics build program,Very low,3,T,"Camp directories, PFW, Indiana Tech",Summer robotics programs,secondary,3,3,3,/programs-events/ (if a summer program exists),RE-BLITZ summer build news exists
youth robotics indiana,Low,4,I,"FIRST Indiana, TechPoint Youth, Indiana Chamber, GEARS",Youth robotics statewide,primary,3,4,3,/ + links from FIRST Indiana/TechPoint,D4: statewide orgs own it; earn links from them
indiana youth robotics center,Very low,4,I,"FIRST Indiana, TechPoint Youth, Indiana Chamber, GEARS",Youth robotics statewide,secondary,3,4,3,/ + links from FIRST Indiana/TechPoint,GEARS (Osceola) uses this - peer model
robotics programs for students indiana,Low,4,I,"FIRST Indiana, TechPoint Youth, Indiana Chamber, GEARS",Youth robotics statewide,secondary,3,4,3,/ + links from FIRST Indiana/TechPoint,
k-12 robotics indiana,Low,4,I,"FIRST Indiana, TechPoint Youth, Indiana Chamber, GEARS",Youth robotics statewide,secondary,3,4,3,/ + links from FIRST Indiana/TechPoint,Pairs with state K-12 Robotics Competition Grant
frc swerve drive,Med,4,I,"WPILib docs, Chief Delphi, gm0",FRC technical deep dives,primary,2,3,1,Deferred,
wpilib tutorial,Med,4,I,"WPILib docs, Chief Delphi, gm0",FRC technical deep dives,secondary,2,3,1,Deferred,
frc cad onshape,Low,4,I,"WPILib docs, Chief Delphi, gm0",FRC technical deep dives,secondary,2,3,1,Deferred,
ftc programming tutorial,Med,4,I,"WPILib docs, Chief Delphi, gm0",FRC technical deep dives,secondary,2,3,1,Deferred,
robot in 3 days,Low,4,N/I,"Ri3D teams, YouTube",Robot in 3 Days / build challenges,primary,2,3,1,Deferred,Owned by Ri3D teams
ri3d,Low,4,N/I,"Ri3D teams, YouTube",Robot in 3 Days / build challenges,secondary,2,3,1,Deferred,
makerspace fort wayne,Med,4,N/T,"TekVenture, Yelp",General makerspace,primary,2,1,-1,Deferred,Intent = adult memberships we don't sell
maker space near me,Med,4,N/T,"TekVenture, Yelp",General makerspace,secondary,2,1,-1,Deferred,
